date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2022-08-22,516201.83225635014,560390.4630549102,433363.61085584003,0.7313725490196078
2022-08-23,509184.09225635015,551562.3330549101,429490.91085584,0.7248366013071895
2022-08-24,504205.5122563501,553877.81305491,424843.67085584,0.7169934640522876
2022-08-25,510845.40225635003,570521.4930549101,423294.59085584,0.7143790849673202
2022-08-28,522934.0922563501,576040.4330549102,431039.99085584003,0.7274509803921568
2022-08-29,518602.80225635006,564698.56305491,426392.75085584004,0.7196078431372549
2022-08-30,524680.9522563501,577527.8730549102,424069.13085584,0.7156862745098038
2022-08-31,521554.6822563501,566124.4630549102,424456.40085584007,0.7163398692810458
2022-09-01,527482.3432997401,570772.1330549101,428671.08287664,0.7071895424836602
2022-09-04,527911.6432997402,576177.4730549101,425897.82287664,0.7026143790849673
2022-09-05,540878.3232997402,577773.9799316502,428671.08287664,0.7071895424836602
2022-09-06,549010.8832997401,593786.92993165,436198.50287664,0.7196078431372549
2022-09-07,547328.5332997402,595540.5399316503,442933.56287664,0.730718954248366
2022-09-08,551297.2132997401,594621.5499316502,438575.58287664,0.7235294117647059
2022-09-11,551285.4332997402,593804.9099316502,440160.30287664,0.7261437908496732
2022-09-12,552409.4532997401,601992.7799316501,443725.92287664,0.7320261437908496
2022-09-13,551126.6832997401,598395.8699316501,447291.54287664,0.7379084967320261
2022-09-14,546356.6532997402,583115.7099316502,445310.64287664,0.7346405228758169
2022-09-15,545218.7932997401,581660.4999316502,436990.86287664,0.7209150326797384
2022-09-18,522382.06329974014,549470.27993165,431840.52287664,0.7124183006535948
2022-09-19,527511.4532997401,565362.2999316502,418370.40287664003,0.6901960784313725
2022-09-20,533909.9332997401,579514.4499316501,422332.20287664,0.6967320261437908
2022-09-21,533098.4232997402,575599.8099316502,428671.08287664,0.7071895424836602
2022-09-22,541161.6032997402,568238.49993165,426690.18287664,0.7039215686274509
2022-09-25,541812.13329974,560457.0099316501,425501.64287664,0.7019607843137254
2022-09-26,544972.6232997401,560109.5499316502,423916.92287664,0.6993464052287581
2022-09-27,547686.7532997401,565490.7899316502,421143.66287664004,0.6947712418300653
2022-09-28,541911.7432997401,567700.4099316502,420747.48287664,0.6941176470588234
2022-09-29,541280.9032997402,563042.1299316502,415993.32287664,0.6862745098039216
2022-10-02,541778.2781276401,565898.6902667603,430502.7269062401,0.6947712418300653
2022-10-03,543185.03812764,560310.89026676,424428.0269062401,0.6849673202614379
2022-10-04,549994.4081276401,570861.8102667602,424428.0269062401,0.6849673202614379
2022-10-05,551301.89812764,569908.3402667602,434552.5269062401,0.7013071895424836
2022-10-09,545106.4581276401,564998.5902667601,438197.34690624004,0.7071895424836602
2022-10-10,552055.8581276401,563333.8402667603,435362.48690624005,0.7026143790849673
2022-10-11,544207.21812764,555436.1702667602,435362.48690624005,0.7026143790849673
2022-10-12,542308.90812764,546097.6102667602,432122.64690624,0.6973856209150326
2022-10-13,541933.2181276401,536566.6202667601,428882.80690624006,0.692156862745098
2022-10-16,544512.67812764,542451.2802667601,431312.68690624007,0.696078431372549
2022-10-17,557520.4781276401,554523.7502667602,439817.26690624,0.7098039215686274
2022-10-18,569927.56812764,562598.4302667602,444272.04690624005,0.7169934640522876
2022-10-19,564795.6981276401,555037.8502667602,448726.8269062401,0.7241830065359477
2022-10-20,565774.5781276401,558294.0902667602,448321.84690624004,0.7235294117647059
2022-10-23,561708.4181276399,568582.5602667602,453181.60690624005,0.7313725490196078
2022-10-24,554489.40812764,560386.5902667602,452371.64690624,0.7300653594771241
2022-10-25,558049.2081276401,562112.2202667602,455611.48690624005,0.7352941176470588
2022-10-26,562810.4481276401,568408.64026676,462091.16690624005,0.7457516339869281
2022-10-27,584370.41812764,594881.4602667601,465735.98690624005,0.7516339869281046
2022-10-30,582221.79812764,599778.9001047001,492059.68690624007,0.7941176470588235
2022-10-31,593584.5881276401,615311.2201047003,489629.80690624006,0.7901960784313725
2022-11-01,601602.0798583,618744.9326086901,511414.15868094005,0.8091503267973856
2022-11-02,600389.0698583002,603145.60260869,514305.78868094005,0.8137254901960783
2022-11-03,599206.5998583002,599688.7826086902,505630.89868094004,0.7999999999999999
2022-11-06,603834.5398583001,611487.9026086902,506870.16868094006,0.8019607843137254
2022-11-07,615026.3698583002,626353.5426086901,502739.26868094003,0.7954248366013071
2022-11-08,604265.7098583002,610704.4726086902,514718.87868094,0.8143790849673203
2022-11-09,605159.3298583,606942.3426086901,506870.16868094006,0.8019607843137254
2022-11-10,618577.3598583002,626430.9626086903,529590.11868094,0.8379084967320262
2022-11-13,628159.3098583001,634311.9626086901,528350.84868094,0.8359477124183006
2022-11-14,630411.2398583001,634029.21260869,538678.09868094,0.8522875816993463
2022-11-15,628241.4098583001,632065.4826086902,545287.5386809399,0.8627450980392156
2022-11-16,643569.0698583002,650396.5926086901,545287.5386809399,0.8627450980392156
2022-11-17,651083.1098583001,644591.6026086902,576269.2886809399,0.9117647058823528
2022-11-20,649777.6498583001,644537.9226086901,562224.22868094,0.8895424836601307
2022-11-21,648874.5898583002,633351.6126086902,562637.31868094,0.8901960784313725
2022-11-22,640868.4298583001,631774.5726086902,563050.40868094,0.8908496732026144
2022-11-23,644169.3698583001,652322.9126086903,570486.02868094,0.9026143790849673
2022-11-24,650712.6098583002,673717.5426086903,576682.37868094,0.9124183006535947
2022-11-27,665457.1498583001,683766.2626086902,578334.73868094,0.9150326797385621
2022-11-28,661391.9698583,686947.0126086902,555614.7886809399,0.8790849673202613
2022-11-29,673687.4998583002,710047.3826086902,576682.37868094,0.9124183006535947
2022-11-30,669922.6398583001,706913.0026086903,578334.73868094,0.9150326797385621
2022-12-01,686538.6916049601,722464.6426086902,610471.45933019,0.949673202614379
2022-12-04,700850.9416049601,732176.5326086903,628117.33933019,0.9771241830065358
2022-12-05,703631.8116049601,741805.4048915902,648284.0593301901,1.0084967320261438
2022-12-06,706873.92160496,746319.4248915901,659207.6993301901,1.0254901960784313
2022-12-07,722154.1616049602,759234.4448915904,667190.3593301901,1.0379084967320262
2022-12-08,719099.47160496,748750.0648915902,680214.6993301901,1.058169934640523
2022-12-11,723238.5516049601,764408.1548915902,682315.39933019,1.0614379084967318
2022-12-12,735105.17160496,793407.5048915902,674752.87933019,1.049673202614379
2022-12-13,748139.0116049602,797303.0648915902,676853.57933019,1.052941176470588
2022-12-14,785828.85160496,866243.1748915901,696180.01933019,1.0830065359477123
2022-12-15,782634.82160496,859756.3148915902,706263.37933019,1.0986928104575162
2022-12-18,772973.5816049601,832519.5448915901,695339.7393301901,1.0816993464052287
2022-12-19,776289.8816049602,853210.6048915901,681895.25933019,1.0607843137254902
2022-12-20,794462.10160496,865556.1848915903,676853.57933019,1.052941176470588
2022-12-21,797018.3716049601,863569.4748915901,667190.3593301901,1.0379084967320262
2022-12-22,790721.2916049601,843978.6648915901,668030.63933019,1.0392156862745099
2022-12-25,781642.7216049602,840439.4748915901,665089.65933019,1.0346405228758169
2022-12-26,802339.0516049601,869395.4248915901,660468.1193301901,1.0274509803921568
2022-12-27,794724.8116049601,873569.3448915901,668450.77933019,1.0398692810457515
2022-12-28,796332.95160496,862016.7748915904,665089.65933019,1.0346405228758169
2022-12-29,798465.8116049601,866919.6248915903,669291.0593301901,1.0411764705882351
2023-01-02,828286.7892426102,874753.2011078703,679868.5108627899,1.0424836601307188
2023-01-03,833981.9892426102,874753.2011078703,695639.39086279,1.0666666666666667
2023-01-04,849242.4092426101,874753.2011078703,701606.75086279,1.0758169934640522
2023-01-05,860715.5892426101,874753.2011078703,725902.4308627901,1.1130718954248366
2023-01-09,875137.10924261,874753.2011078703,740820.83086279,1.1359477124183006
2023-01-10,839031.3492426102,874753.2011078703,749345.6308627899,1.1490196078431372
2023-01-11,840717.4392426101,874753.2011078703,696918.11086279,1.0686274509803921
