date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2023-04-11,565529.9963729302,803369.1442037302,807998.9994301901
2023-04-12,559987.3063729303,803033.1942037302,819497.4994301901
2023-04-13,588591.8163729303,839300.8042037302,811979.2494301901
2023-04-18,599772.4023633305,837758.9842037302,856204.2494301901
2023-04-19,601432.9623633304,837342.2042037302,850897.24943019
2023-04-26,601653.2023633305,844823.6042037301,849570.4994301901
2023-04-27,620653.3323633305,862329.7942037303,846474.7494301901
2023-04-30,622710.2623633303,864200.9342037303,862837.9994301902
2023-05-01,605896.6397742503,851185.4104061702,866409.8740560302
2023-05-02,599895.7007136405,850233.4881852902,849412.85405603
2023-05-03,598196.4607136404,847599.0729291902,848965.5640560301
2023-05-07,595141.8007136404,842349.5829291902,848518.2740560301
2023-05-08,624123.4507136404,863611.9029291902,845387.2440560301
2023-05-09,606571.2407136405,846099.4229291902,865068.0040560301
2023-05-10,618903.2807136405,859297.7529291903,849860.1440560301
2023-05-11,608947.7907136404,851270.2629291903,859700.5240560301
2023-05-14,615456.4607136404,859683.5629291901,848518.2740560301
2023-05-15,603574.4207136404,846429.2129291903,853438.46405603
2023-05-16,599968.4107136404,840457.2129291903,843598.08405603
2023-05-17,588980.4807136405,835511.0029291903,838677.8940560301
2023-05-18,586220.7007136404,828575.9629291903,830179.3840560301
2023-05-21,585012.3907136404,829643.7229291903,825706.4840560302
2023-05-22,579775.0307136405,815419.7429291903,831073.96405603
2023-05-23,579637.2307136405,815748.3029291902,826601.0640560301
2023-05-24,588044.0107136404,825693.6929291902,827495.6440560301
2023-05-25,582503.5307136404,831174.9329291902,842256.21405603
2023-05-28,579611.5207136403,833980.1629291902,840019.7640560301
2023-05-29,580001.1907136405,836291.5029291902,844045.3740560302
2023-05-30,590911.2507136405,843915.3029291903,848965.5640560301
2023-05-31,585485.0207136404,839472.5329291902,864173.4240560301
2023-06-01,594046.7662255703,845695.9543347203,870960.8080856301
2023-06-04,589557.5764852705,839087.2190206002,872770.5680856301
2023-06-05,580847.2064852705,835690.1790206002,868698.60808563
2023-06-06,600887.6964852705,857479.8290206002,863269.32808563
2023-06-07,587304.5064852705,849125.5890206002,870508.36808563
2023-06-08,592959.8064852705,856387.7590206002,863721.76808563
2023-06-11,603785.1464852704,864031.6690206002,872318.1280856301
2023-06-12,608642.0164852706,859372.5890206002,882724.2480856301
2023-06-13,612385.3164852706,867755.5090206002,880914.48808563
2023-06-14,606129.0264852705,864369.5790206002,889058.40808563
2023-06-15,598170.2864852704,853055.5790206003,889058.40808563
2023-06-18,608793.8264852705,863509.9190206002,889510.8480856301
2023-06-19,603814.5964852705,855294.5590206003,896749.88808563
2023-06-20,602302.9264852705,855187.6990206002,894940.1280856301
2023-06-21,591159.7964852704,842400.7290206002,891320.60808563
2023-06-22,594186.8064852705,849600.7590206002,880914.48808563
2023-06-25,594578.8664852704,848019.2190206002,881366.9280856301
2023-06-26,605262.4864852704,873697.2290206002,860554.6880856301
2023-07-04,612442.6281262605,879651.2783713102,888689.3728575301
2023-07-05,610392.4981172904,874240.5795808001,878621.95285753
2023-07-06,601803.6881172905,854420.7195808,874503.46285753
2023-07-09,574088.4781172904,831726.0595808001,860775.1628575299
2023-07-10,591133.7881172905,849588.5195808002,833318.5628575301
2023-07-11,595663.5681172904,859416.0495808001,853453.4028575299
2023-07-12,592197.3681172904,856381.3795808002,863063.21285753
2023-07-13,609393.1181172904,868073.5695808001,862605.6028575301
2023-07-16,605114.0781172904,871072.3795808001,872215.4128575299
2023-07-17,605857.7281172904,868262.1395808002,872215.4128575299
2023-07-18,619851.4081172904,876276.5995808002,880452.3928575299
2023-07-19,615585.6281172904,872634.3995808002,885028.49285753
2023-07-24,610315.6781172905,870879.5795808001,883655.6628575299
2023-07-25,605973.3281172906,861942.3795808001,882282.8328575301
2023-07-26,608484.9181172905,855723.2895808002,878621.95285753
2023-07-27,607138.0381172905,851862.5595808002,874503.46285753
2023-07-30,622476.2881172905,856783.5195808001,871757.8028575301
2023-07-31,622568.7881172906,857655.5495808001,882282.8328575301
2023-08-01,621415.2342843104,866561.5328260801,894256.3253825301
2023-08-02,608846.0142843104,851770.7528260802,889164.8653825301
2023-08-03,611258.2242843106,851173.8828260802,885924.8453825301
2023-08-06,622950.0542843104,861311.3928260802,885924.8453825301
2023-08-07,624396.3342843105,868490.3728260801,897959.20538253
2023-08-08,620888.7242843105,863605.7828260802,905364.96538253
2023-08-09,618163.2542843106,867316.6628260801,900273.50538253
2023-08-10,616126.4642843104,861640.9528260801,901199.22538253
2023-08-13,622927.4342843106,870322.1728260802,898422.0653825301
2023-08-14,622224.2142843104,872780.4428260801,905827.8253825301
2023-08-15,620362.6842843104,870265.5328260802,907679.26538253
2023-08-16,634490.8342843103,870908.2428260802,910919.2853825301
2023-08-17,625188.6342843105,865877.1828260801,916010.74538253
2023-08-20,626111.2542843106,869586.7728260802,910919.2853825301
2023-08-21,629727.6342843104,873221.0828260801,914159.3053825301
2023-08-22,637971.0442843104,882723.8728260802,909067.8453825301
2023-08-23,632679.2942843105,876950.2728260802,923879.3653825301
2023-08-24,632294.3442843105,888122.1728260801,919713.6253825302
2023-08-27,637544.4842843105,897304.8028260802,923416.50538253
2023-08-28,634801.1442843105,895829.7428260802,938690.8853825302
2023-08-29,635916.5542843106,895936.6628260801,941930.9053825302
2023-08-30,635251.3642843105,906827.8728260803,944245.20538253
2023-08-31,631715.1742843104,906037.5528260802,953965.26538253
2023-09-03,635198.2565011404,903836.5938694702,966849.5064069302
2023-09-04,644387.2407948605,917710.9438694702,959365.5064069302
2023-09-05,646267.9545883804,915951.1738694703,968720.50640693
2023-09-06,638307.1266602104,930872.7538694702,975269.0064069302
2023-09-07,643851.2966602106,945457.8638694702,984624.00640693
2023-09-10,649740.8766602105,964469.5338694702,992108.00640693
2023-09-11,639025.7866602106,949202.6038694702,1002398.50640693
2023-09-12,638381.7166602106,941590.3138694703,986962.7564069302
2023-09-13,641066.9266602106,954154.9438694703,980414.25640693
2023-09-14,644851.4566602106,963960.5638694703,1002866.2564069302
2023-09-17,650840.1666602105,965376.8138694703,1000527.50640693
2023-09-18,650415.8466602105,965465.4138694702,1006608.25640693
2023-09-19,647931.2366602105,976963.4838694702,1010818.00640693
2023-09-20,635864.8066602106,965904.4538694702,1021108.5064069299
2023-09-21,638088.8766602105,980839.7538694703,1013156.75640693
2023-09-24,659357.3366602105,1020404.5038694702,1027657.00640693
2023-09-25,655476.7866602106,1015120.1138694703,1034673.25640693
2023-09-26,661518.3266602105,1030996.5238694702,1039818.50640693
2023-09-27,659268.5966602104,1035892.4038694702,1041689.50640693
2023-10-01,686995.9461356505,1049779.7285072703,1041712.48618883
2023-10-02,665634.5434586105,1036105.8140865202,1035573.7561888301
2023-10-03,655817.3957775505,1026738.4245957301,1027546.1861888302
2023-10-04,658613.9257775506,1036259.0745957302,1017629.7761888301
2023-10-08,643104.6857775504,1002357.8945957302,1026129.5561888302
2023-10-09,642382.3372451406,1007831.2045957302,999685.7961888302
2023-10-10,662471.0572451405,1023134.8345957302,1002046.8461888301
2023-10-11,660354.3472451405,1015958.9245957301,1018574.1961888301
2023-10-12,681672.4072451405,1027350.2745957301,1014796.51618883
2023-10-15,713142.0772451407,1054250.88459573,1032268.28618883
2023-10-16,771887.0972451406,1152475.4845957302,1048795.6361888302
2023-10-17,797332.0572451407,1173637.9945957302,1085155.8061888302
2023-10-18,814180.6472451406,1196960.2945957303,1176292.3361888302
2023-10-19,808963.9072451405,1186657.87459573,1168264.7661888301
2023-10-22,835268.2472451406,1196432.08459573,1115377.2461888301
2023-10-23,865177.6872451404,1231826.7845957302,1141821.0061888301
2023-10-24,852673.1372451405,1222400.7945957303,1164487.0861888302
2023-10-25,892533.8572451405,1285008.9245957301,1170153.6061888302
2023-10-26,884907.9372451406,1282660.04459573,1209347.0361888302
2023-10-29,863652.1272451405,1245885.4345957302,1227763.22618883
2023-10-30,894882.2272451406,1260172.9145957301,1206985.98618883
2023-10-31,827130.2172451405,1190701.3245957303,1224929.96618883
2023-11-01,825674.1334545305,1193775.24957268,1188303.33470423
2023-11-02,831310.9244169506,1198804.9025538804,1182114.29470423
2023-11-05,855418.5140018007,1225804.0325538802,1193064.1347042301
2023-11-06,855822.8747441005,1228593.3725538803,1216392.0547042303
2023-11-07,865343.1659365806,1261648.5025538802,1215915.9747042302
2023-11-08,879428.4765078105,1287063.4425538804,1234007.0147042302
2023-11-09,894260.2571290606,1317229.00255388,1264476.1347042301
2023-11-12,882623.7071290603,1297293.5525538803,1281615.0147042302
2023-11-13,879717.9271290606,1300577.0125538802,1260191.4147042301
2023-11-14,884681.7071290605,1295653.5025538802,1263047.8947042301
2023-11-15,887320.5871290605,1300830.0025538802,1259715.33470423
2023-11-16,898351.3971290606,1319459.1825538804,1272093.4147042301
2023-11-19,909471.3271290605,1342085.8225538803,1284947.57470423
2023-11-20,895674.0471290605,1330246.4025538804,1322557.8947042301
2023-11-21,898869.6571290605,1336158.5525538803,1323986.1347042301
2023-11-22,903603.0471290604,1342379.9625538804,1303514.6947042302
2023-11-23,904879.7871290606,1354105.4725538804,1318273.1747042302
2023-11-26,901554.9771290604,1341856.3725538803,1369213.7347042302
2023-11-27,890539.7371290603,1354213.8625538803,1332079.4947042302
2023-11-28,878279.4271290606,1334235.1825538804,1371118.0547042303
2023-11-29,864344.0171290605,1318871.9325538801,1322557.8947042301
2023-11-30,860724.4371290604,1316874.7425538802,1303990.7747042303
2023-12-03,864955.2379125204,1327728.72098423,1312379.61422403
2023-12-04,880338.6073661507,1353239.5609842304,1303745.55422403
2023-12-05,872972.8489578207,1344060.0509842301,1340200.47422403
2023-12-06,854112.3940978805,1315816.0809842302,1333005.42422403
2023-12-07,853755.5998131705,1303500.1609842302,1310460.93422403
2023-12-10,828444.5498131706,1282980.0509842301,1309501.5942240302
2023-12-11,817782.8498131706,1270563.04098423,1283599.4142240302
2023-12-12,828127.7898131704,1266944.68098423,1283119.74422403
2023-12-13,870514.3198131705,1306702.04098423,1277363.70422403
2023-12-14,872834.1798131706,1301588.5809842302,1341159.8142240301
2023-12-17,882760.8898131707,1323561.1009842302,1349314.20422403
2023-12-18,899601.9698131706,1358680.7009842303,1315257.6342240302
2023-12-19,920002.1198131706,1361906.5509842301,1343558.1642240302
2023-12-20,903053.5598131707,1350487.6809842302,1330127.40422403
2023-12-21,891047.4498131706,1346964.7109842303,1317655.98422403
2023-12-24,883578.6998131705,1333694.0009842298,1327249.3842240302
2023-12-25,895908.5498131706,1338498.60098423,1263932.94422403
2023-12-26,896828.1398131705,1326647.0609842301,1285038.42422403
2023-12-27,917505.7098131705,1360542.0809842302,1273046.67422403
2023-12-28,911522.3598131706,1366981.12098423,1291274.1342240302
2023-12-31,915336.4698131705,1383063.2509842303,1308542.25422403
2024-01-02,931028.4891608508,1417792.1526985806,1328486.27170101
2024-01-03,929844.1883115206,1414224.0026985805,1360381.4317010099
2024-01-04,921233.6976872806,1399365.7426985805,1355548.83170101
2024-01-08,920801.2576872805,1393438.1226985804,1368113.5917010098
2024-01-09,929838.0676872806,1408241.4926985803,1351682.75170101
