date,symbol,holding_name,shares,close,value,weight,rank,score
2021-08-01,EGAL,Egypt Aluminum,1288.0,22.66,29186.08,0.09600903999746649,1.0,0.7446956521739131
2021-08-01,ETEL,Telecom Egypt,5501.0,14.0,77014.0,0.25334132594596065,5.0,0.6402608695652174
2021-08-01,GBCO,GB Corp,5085.0,3.84,19526.399999999998,0.06423304940596782,8.0,0.6251594202898552
2021-08-01,HRHO,EFG Holding,638.0,7.7,4912.6,0.016160238370194074,12.0,0.5042028985507246
2021-08-01,MCQE,Misr Cement - Qena,3387.0,15.1,51143.7,0.16823970669985233,2.0,0.7309565217391305
2021-08-01,ORWE,Oriental Weavers,6298.0,8.22,51769.560000000005,0.1702985038309784,4.0,0.6824927536231886
2021-08-01,PHDC,Palm Hills Development Company,6319.0,1.86,11753.34,0.038663187730720354,7.0,0.6284347826086956
2021-08-01,RAYA,Raya Holding For Financial Investments,14037.0,1.51,21195.87,0.06972485275895564,6.0,0.6304347826086958
2021-09-01,ADIB,Abu Dhabi Islamic Bank- Egypt,1454.0,11.37,16531.98,0.050825330456531724,4.0,0.6885555555555556
2021-09-01,ARCC,Arabian Cement Company,4787.0,4.99,23887.13,0.07343774163216582,7.0,0.6440555555555556
2021-09-01,EGAL,Egypt Aluminum,1391.0,27.13,37737.83,0.11601984036167579,2.0,0.7742777777777777
2021-09-01,ETEL,Telecom Egypt,5501.0,14.9,81964.90000000001,0.25198996903798443,3.0,0.7161111111111111
2021-09-01,GBCO,GB Corp,5085.0,4.08,20746.8,0.06378322293612576,8.0,0.6432777777777778
2021-09-01,HRHO,EFG Holding,638.0,8.46,5397.4800000000005,0.016593820258221998,10.0,0.5631666666666667
2021-09-01,MCQE,Misr Cement - Qena,3587.0,14.22,51007.14,0.15681453438381718,1.0,0.8014444444444445
2021-09-01,ORWE,Oriental Weavers,6298.0,8.53,53721.939999999995,0.16516081880488423,9.0,0.6201111111111112
2021-09-01,PHDC,Palm Hills Development Company,7510.0,2.0,15020.0,0.046176953000010075,5.0,0.6871111111111112
2021-09-01,RAYA,Raya Holding For Financial Investments,14037.0,1.37,19230.690000000002,0.05912214835471131,11.0,0.5597777777777778
2021-10-03,ABUK,Abou Kir Fertilizers,277.0,20.1,5567.700000000001,0.017965160246068115,9.0,0.6006666666666667
2021-10-03,ADIB,Abu Dhabi Islamic Bank- Egypt,2121.0,10.21,21655.410000000003,0.06987497725170284,5.0,0.7566666666666667
