date,relative_ic_equity,etf_dca_equity,etf_buy_hold_norm
2023-09-26,987487.5655262804,1039818.50640693,1.4529411764705882
2023-09-27,989804.3155262806,1041689.50640693,1.4555555555555555
2023-10-01,988619.4305834007,1041712.48618883,1.4418300653594769
2023-10-02,982899.0805834007,1035573.7561888301,1.4333333333333333
2023-10-03,973253.4705834006,1027546.1861888302,1.4222222222222223
2023-10-04,982890.7905834006,1017629.7761888301,1.4084967320261437
2023-10-08,939433.8905834007,1026129.5561888302,1.4202614379084968
2023-10-09,936272.3105834005,999685.7961888302,1.3836601307189542
2023-10-10,950028.9705834007,1002046.8461888301,1.3869281045751634
2023-10-11,949483.3205834007,1018574.1961888301,1.4098039215686273
2023-10-12,951561.1105834006,1014796.51618883,1.4045751633986927
2023-10-15,960358.1105834007,1032268.28618883,1.4287581699346403
2023-10-16,989873.0605834007,1048795.6361888302,1.4516339869281045
2023-10-17,1036462.2605834005,1085155.8061888302,1.5019607843137255
2023-10-18,1023144.2605834008,1176292.3361888302,1.6281045751633987
2023-10-19,1012933.0405834005,1168264.7661888301,1.6169934640522874
2023-10-22,1029748.7005834006,1115377.2461888301,1.5437908496732027
2023-10-23,1030437.8605834007,1141821.0061888301,1.580392156862745
2023-10-24,1026784.7905834006,1164487.0861888302,1.6117647058823528
2023-10-25,1101155.7805834005,1170153.6061888302,1.619607843137255
2023-10-26,1125326.2805834005,1209347.0361888302,1.6738562091503266
2023-10-29,1137212.6805834004,1227763.22618883,1.6993464052287581
2023-10-30,1117487.1405834006,1206985.98618883,1.6705882352941175
2023-10-31,1075401.4905834007,1224929.96618883,1.6954248366013072
2023-11-01,1089919.9166179304,1188303.33470423,1.6313725490196078
2023-11-02,1112973.8466179306,1182114.29470423,1.6228758169934638
2023-11-05,1134488.6166179306,1193064.1347042301,1.6379084967320259
2023-11-06,1140495.4366179304,1216392.0547042303,1.6699346405228759
